"","V1"
"1",-0.00105041366131858
"2",-0.000901631138015066
"3",0.00062668673440803
"4",0.000166047178664384
"5",-0.000279447673998514
"6",0.000443135638351158
"7",-0.000682137787292423
"8",0.000886144046723326
"9",0.000733858963091747
"10",5.77576993859323e-05
